run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,0,1,1,1,2,1,RED,r1,0,2,[2],0,68,3,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,2.0,-1.0,9.0,0.0,0.0,0.0,135.0,32.25,133.5,2.0,3.0,9.0,37.0,82.5,174.0,135.5,1.0,20.0,83.0,1.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0125,0.047619047619047616,0.0125,0.0125,0.0125
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,0,1,1,1,2,2,BLUE,r2,1,2,[2],1,86,1,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,1.0,-3.0,9.0,0.0,0.0,0.0,58.0,14.5,57.75,1.0,2.0,5.25,17.0,32.5,251.0,58.75,0.0,21.0,88.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0125,0.0,0.0125,0.0125,0.0
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,0,1,1,1,2,3,YELLOW,r3,2,2,[2],0,78,2,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,1.0,-3.0,9.0,0.0,0.0,0.0,58.0,14.5,57.75,1.0,2.0,5.25,17.0,32.5,251.0,58.75,0.0,21.0,88.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0125,0.0,0.0125,0.0125,0.0
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,0,1,1,1,2,4,GREEN,r4,3,2,[2],0,55,4,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,1.0,-3.0,9.0,0.0,0.0,0.0,58.0,14.5,57.75,1.0,2.0,5.25,17.0,32.5,251.0,58.75,0.0,21.0,88.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0125,0.0,0.0125,0.0125,0.0
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,1,2,2,2,3,1,RED,r1,0,2,[2],0,68,3,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,2.0,-2.0,9.0,0.0,0.0,0.0,135.0,32.25,133.5,2.0,3.0,9.0,37.0,82.5,310.0,135.5,1.0,20.0,83.0,1.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,2.0,2.0,0.025,0.047619047619047616,0.025,0.025,0.0125
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,1,2,2,2,3,2,BLUE,r2,1,2,[2],1,86,1,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,2.0,-2.0,9.0,0.0,0.0,0.0,194.0,45.5,191.75,2.0,4.0,12.75,53.0,120.0,251.0,193.75,1.0,20.0,83.0,1.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,2.0,2.0,0.025,0.047619047619047616,0.025,0.025,0.0125
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,1,2,2,2,3,3,YELLOW,r3,2,2,[2],0,78,2,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,1.0,-4.0,9.0,0.0,0.0,0.0,58.0,14.5,57.75,1.0,2.0,5.25,17.0,32.5,387.0,58.75,0.0,21.0,88.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,2.0,2.0,0.025,0.0,0.025,0.025,0.0
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,1,2,2,2,3,4,GREEN,r4,3,2,[2],0,55,4,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,1.0,-4.0,9.0,0.0,0.0,0.0,58.0,14.5,57.75,1.0,2.0,5.25,17.0,32.5,387.0,58.75,0.0,21.0,88.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,2.0,2.0,0.025,0.0,0.025,0.025,0.0
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,2,4,4,4,1,1,RED,r1,0,2,[2],0,68,3,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,2.0,-3.0,9.0,0.0,0.0,0.0,135.0,32.25,133.5,2.0,3.0,9.0,37.0,82.5,479.0,135.5,1.0,20.0,83.0,1.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,4.0,4.0,0.045,0.047619047619047616,0.05,0.05,0.0125
20260301_234748_59a3986a,20260301_234748_59a3986a_g0000,0,1869827251,2,4,4,4,1,2,BLUE,r2,1,2,[2],1,86,1,"{""1"": 68, ""2"": 86, ""3"": 78, ""4"": 55}",False,2.0,-3.0,9.0,0.0,0.0,0.0,194.0,45.5,191.75,2.0,4.0,12.75,53.0,120.0,420.0,193.75,1.0,20.0,83.0,1.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,4.0,4.0,0.045,0.047619047619047616,0.05,0.05,0.0125
