run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,0,8,8,8,1,1,RED,r1,0,2.0,[2],0,56,4,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,6.0,-9.0,9.0,0.0,1.0,0.0025,490.0,111.0,456.375,6.0,11.0,34.5,140.5,264.375,1029.0,462.375,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.0925,0.09523809523809523,0.125,0.125,0.025
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,0,8,8,8,1,2,BLUE,r4,1,2.0,[2],1,78,1,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,6.0,-9.0,9.0,0.0,1.0,0.0025,385.0,93.75,386.25,6.0,10.0,29.25,96.0,245.0,1134.0,392.25,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,1.0,1.0,1.0,8.0,8.0,0.0925,0.09523809523809523,0.125,0.125,0.0225
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,0,8,8,8,1,3,YELLOW,r2,2,2.0,[2],0,71,2,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,5.0,-11.0,9.0,0.0,1.0,0.0025,358.0,85.75,355.25,5.0,9.0,26.25,90.0,225.0,1161.0,360.25,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,0.0,1.0,1.0,8.0,8.0,0.0925,0.09523809523809523,0.125,0.125,0.0225
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,0,8,8,8,1,4,GREEN,r3,3,2.0,[2],0,67,3,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,4.0,-13.0,9.0,0.0,1.0,0.0025,286.0,71.25,294.75,4.0,8.0,21.0,78.0,183.75,1233.0,298.75,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,1.0,1.0,1.0,8.0,8.0,0.0925,0.09523809523809523,0.125,0.125,0.0225
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,1,16,16,16,1,1,RED,r1,0,2.0,[2],0,56,4,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,8.0,-24.0,9.0,0.0,2.0,0.005,386.0,99.625,386.125,8.0,13.0,37.5,142.0,185.625,1495.0,394.125,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,1.0,0.0,16.0,16.0,0.19,0.19047619047619047,0.25,0.25,0.05
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,1,16,16,16,1,2,BLUE,r4,1,2.0,[2],1,78,1,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,12.0,-16.0,3.0,0.0,2.0,0.005,630.0,174.5,703.375,12.0,20.0,61.5,200.5,409.375,1251.0,715.375,4.0,17.0,69.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,1.0,16.0,16.0,0.19,0.19047619047619047,0.25,0.25,0.0475
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,1,16,16,16,1,3,YELLOW,r2,2,2.0,[2],0,71,2,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,11.0,-18.0,8.0,0.0,2.0,0.005,411.0,111.5,427.5,11.0,16.0,45.0,128.0,227.5,1470.0,438.5,4.0,17.0,69.0,1.0,1.0,2.0,5.0,8.0,0.0,1.0,1.0,16.0,16.0,0.19,0.19047619047619047,0.25,0.25,0.0475
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,1,16,16,16,1,4,GREEN,r3,3,2.0,[2],0,67,3,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,9.0,-22.0,4.0,0.0,2.0,0.005,454.0,119.75,478.5,9.0,17.0,42.0,123.0,287.5,1427.0,487.5,4.0,17.0,70.0,1.0,1.0,2.0,4.0,9.0,1.0,1.0,1.0,16.0,16.0,0.19,0.19047619047619047,0.25,0.25,0.045
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,2,24,24,24,1,1,RED,r1,0,2.0,[2],0,56,4,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,14.0,-32.0,6.0,1.0,3.0,0.0075,352.0,96.75,346.125,13.0,18.0,45.0,114.5,155.625,1349.0,360.125,6.0,15.0,59.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,0.0,24.0,24.0,0.2825,0.2857142857142857,0.375,0.375,0.0725
20260301_235833_0c82b115,20260301_235833_0c82b115_g0000,0,1501092359,2,24,24,24,1,2,BLUE,r4,1,2.0,[2],1,78,1,"{""1"": 56, ""2"": 78, ""3"": 71, ""4"": 67}",False,15.0,-30.0,1.0,1.0,3.0,0.0075,534.0,162.25,633.625,14.0,24.0,66.0,166.5,363.125,1167.0,648.625,6.0,15.0,60.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,24.0,24.0,0.2825,0.2857142857142857,0.375,0.375,0.07
