run_id,timestamp,num_games,completed_games,agents,seed,seat_policy,notes
20260301_225143_f2d15aab,2026-03-01T22:51:43,10,10,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,12345,round_robin,as-is benchmark with different thinking times
20260301_225314_8397d051,2026-03-01T22:53:14,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,2026,round_robin,as-is benchmark with different thinking times
20260301_225351_8397d051,2026-03-01T22:53:51,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,2026,round_robin,as-is benchmark with different thinking times
20260301_225550_824b529c,2026-03-01T22:55:50,10,10,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,12345,round_robin,as-is benchmark with different thinking times
20260301_225934_fb33677b,2026-03-01T22:59:34,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,2026,round_robin,as-is benchmark with different thinking times
20260301_230108_fb33677b,2026-03-01T23:01:08,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,2026,round_robin,as-is benchmark with different thinking times
20260301_230251_2b489b51,2026-03-01T23:02:51,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,2027,round_robin,as-is benchmark with different thinking times
20260301_230521_f7fc7903,2026-03-01T23:05:21,1,1,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,7,round_robin,as-is benchmark with different thinking times
20260301_233100_b5d0b952,2026-03-01T23:31:00,20,20,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,20260301,round_robin,as-is benchmark with different thinking times
20260301_234748_59a3986a,2026-03-01T23:47:48,3,3,r1:random:None|r2:random:None|r3:random:None|r4:random:None,901,round_robin,snapshot verification run
20260301_232636_6b2cb91e,2026-03-01T23:26:36,100,100,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,20260301,round_robin,as-is benchmark with different thinking times
20260301_235833_0c82b115,2026-03-01T23:58:33,100,100,r1:random:None|r2:random:None|r3:random:None|r4:random:None,20260302,randomized,milestone_3_4_verification_random_100
20260302_000926_647905c3,2026-03-02T00:09:26,1,1,m1:mcts:20|m2:mcts:20|m3:mcts:20|m4:mcts:20,404,round_robin,milestone5_wiring_smoke
20260302_165457_98d5251c,2026-03-02T16:54:57,5,5,mcts_25ms:gameplay_fast_mcts:25|mcts_50ms:gameplay_fast_mcts:50|mcts_100ms:gameplay_fast_mcts:100|mcts_200ms:gameplay_fast_mcts:200,20260301,round_robin,as-is benchmark with different thinking times
20260302_182617_c8931f65,2026-03-02 18:26:26,1,1,base_no_eval:mcts:50|eval_no_bias:mcts:50|eval_with_bias_0.1:mcts:50|eval_with_bias_0.25:mcts:50,2026,randomized,Tuning Set: ablation_leaf_eval. 
20260302_182634_6b954700,2026-03-02 18:31:21,40,8,base_no_eval:mcts:200|eval_no_bias:mcts:200|eval_with_bias_0.1:mcts:200|eval_with_bias_0.25:mcts:200,2026,randomized,Tuning Set: ablation_leaf_eval. 
20260302_183226_6b954700,2026-03-02 18:37:12,40,8,base_no_eval:mcts:200|eval_no_bias:mcts:200|eval_with_bias_0.1:mcts:200|eval_with_bias_0.25:mcts:200,2026,randomized,Tuning Set: ablation_leaf_eval. 
20260302_191156_48e7c327,2026-03-02 19:12:01,10,2,base_no_eval:fast_mcts:50|eval_no_bias:fast_mcts:50|eval_with_bias_0.1:fast_mcts:50|eval_with_bias_0.25:fast_mcts:50,0,randomized,Tuning Set: ablation_leaf_eval. 
20260302_191254_48e7c327,2026-03-02 19:12:59,10,2,base_no_eval:fast_mcts:50|eval_no_bias:fast_mcts:50|eval_with_bias_0.1:fast_mcts:50|eval_with_bias_0.25:fast_mcts:50,0,randomized,Tuning Set: ablation_leaf_eval. 
20260302_191335_48e7c327,2026-03-02 19:13:42,10,10,base_no_eval:fast_mcts:50|eval_no_bias:fast_mcts:50|eval_with_bias_0.1:fast_mcts:50|eval_with_bias_0.25:fast_mcts:50,0,randomized,Tuning Set: ablation_leaf_eval. 
20260302_191421_49c08c25,2026-03-02 19:18:49,200,200,base_no_eval:fast_mcts:200|eval_no_bias:fast_mcts:200|eval_with_bias_0.1:fast_mcts:200|eval_with_bias_0.25:fast_mcts:200,2026,randomized,Tuning Set: ablation_leaf_eval. Primary Clean Baseline N=200 200ms seed 2026
20260302_191850_158563c1,2026-03-02 19:20:51,200,200,base_no_eval:fast_mcts:50|eval_no_bias:fast_mcts:50|eval_with_bias_0.1:fast_mcts:50|eval_with_bias_0.25:fast_mcts:50,2026,randomized,Tuning Set: ablation_leaf_eval. Sensitivity Time = 50ms
20260302_192051_f843127d,2026-03-02 19:27:50,200,200,base_no_eval:fast_mcts:400|eval_no_bias:fast_mcts:400|eval_with_bias_0.1:fast_mcts:400|eval_with_bias_0.25:fast_mcts:400,2026,randomized,Tuning Set: ablation_leaf_eval. Sensitivity Time = 400ms
